date,flat_bill_rs,prana_bill_rs,saving_rs,flat_elec_rs,prana_elec_rs,flat_alt_rs,prana_alt_rs,elec_saving_rs,alt_extra_rs,flat_mwh,prana_mwh,flat_peak_mw,prana_peak_mw,md_saving_rs,rtm_spread_rs_mwh,rtm_mean_rs_mwh,solve_s
2026-04-29,15797074.727428759,15649169.22177506,147905.505653698,14930803.126585009,14584983.680437561,866271.60084375,1064185.5413375,345819.44614744745,197913.94049375004,2230.2079200000003,2168.1981607499997,92.92533,94.613892,-33886.10816326528,9900.8,2806.250104166667,8.16780686378479
2026-04-30,14101462.362322498,13962073.715900062,139388.64642243646,13235190.761478748,12897888.174562562,866271.60084375,1064185.5413375,337302.5869161859,197913.94049375004,2230.2079200000003,2170.1273,92.92533,94.470591,-31010.339795918204,3619.1800000000003,2135.4807291666666,9.697467803955078
2026-05-01,12962263.215746956,12768079.84725258,194183.36849437654,12095991.614903206,11703894.30591508,866271.60084375,1064185.5413375,392097.308988126,197913.94049375004,2230.2079200000003,2166.7101380000004,92.92533,93.352205,-8566.539115646156,4000.63,1684.8235416666666,17.231693506240845
2026-05-02,14628827.28748036,14419671.75893621,209155.5285441503,13762555.68663661,13355486.21759871,866271.60084375,1064185.5413375,407069.46903789975,197913.94049375004,2230.2079200000003,2168.1231542500004,92.92533,93.223193,-5977.522789115552,3813.97,2344.101666666667,10.401851415634155
2026-05-03,13282637.063490828,13054035.691313691,228601.37217713706,12416365.462647079,11989850.149976192,866271.60084375,1064185.5413375,426515.3126708865,197913.94049375004,2230.2079200000003,2163.262522,92.92533,92.44938,9551.377551020356,4005.62,1811.560625,14.730583190917969
2026-05-04,14034505.356202414,13832372.041466726,202133.31473568827,13168233.755358664,12768186.500129227,866271.60084375,1064185.5413375,400047.2552294377,197913.94049375004,2230.2079200000003,2164.0572875,92.92533,92.588053,6768.484013605397,3921.9,2108.993125,10.768151760101318
2026-05-05,15278036.210813114,15047423.479051618,230612.7317614965,14411764.609969364,13983237.937714119,866271.60084375,1064185.5413375,428526.67225524597,197913.94049375004,2230.2079200000003,2167.0609505,92.92533,93.275738,-7031.997278911527,4601.04,2600.9230208333333,9.219762563705444
2026-05-06,16273564.588065704,15984416.005956594,289148.58210911043,15407292.987221954,14920230.464619095,866271.60084375,1064185.5413375,487062.5226028599,197913.94049375004,2230.2079200000003,2167.5251315,92.92533,93.352205,-8566.539115646156,4650.99,2994.7453125000006,10.449418783187866
2026-05-07,16149082.660642022,15894338.927139895,254743.73350212723,15282811.059798272,14830153.385802396,866271.60084375,1064185.5413375,452657.6739958767,197913.94049375004,2230.2079200000003,2168.0649762500007,92.92533,93.352205,-8566.539115646156,4511.53,2945.5013541666667,21.775872230529785
2026-05-08,17076392.997319303,16755040.748747317,321352.24857198633,16210121.396475554,15690855.207409818,866271.60084375,1064185.5413375,519266.1890657358,197913.94049375004,2230.2079200000003,2167.5999947499995,92.92533,93.366319,-8849.779251700733,4299.82,3312.3371875,11.323317050933838
2026-05-09,16658381.272587731,16376576.390416188,281804.8821715433,15792109.671743982,15312390.849078689,866271.60084375,1064185.5413375,479718.82266529277,197913.94049375004,2230.2079200000003,2167.37341425,92.92533,93.352205,-8566.539115646156,4951.5,3146.9754166666667,10.720857620239258
2026-05-10,16300779.654903317,15873439.471715719,427340.18318759836,15434508.054059567,14809253.93037822,866271.60084375,1064185.5413375,625254.1236813478,197913.94049375004,2230.2079200000003,2165.5074412500007,92.92533,93.352205,-8566.539115646156,9970.29,3005.5113541666665,13.744486808776855
2026-05-11,20498477.39196701,19768007.564517137,730469.8274498731,19632205.79112326,18703822.023179635,866271.60084375,1064185.5413375,928383.7679436244,197913.94049375004,2230.2079200000003,2168.61993025,92.92533,93.480497,-11141.106462585041,9951.49,4666.083750000001,10.340173482894897
2026-05-12,23760408.567568474,23021829.236534115,738579.3310343586,22894136.966724724,21957643.695196614,866271.60084375,1064185.5413375,936493.2715281099,197913.94049375004,2230.2079200000003,2169.1776725,92.92533,93.954512,-20653.652380952146,8436.7,5956.475104166667,12.652552604675293
2026-05-13,21930898.515996996,21481235.15926413,449663.35673286766,21064626.915153246,20417049.617926627,866271.60084375,1064185.5413375,647577.297226619,197913.94049375004,2230.2079200000003,2168.0804579999995,92.92533,94.613391,-33876.05408163252,8743.86,5232.736979166667,10.321129083633423
