date,flat_bill_rs,prana_bill_rs,saving_rs,flat_elec_rs,prana_elec_rs,flat_alt_rs,prana_alt_rs,flat_wear_rs,prana_wear_rs,elec_saving_rs,alt_extra_rs,wear_extra_rs,flat_mwh,prana_mwh,flat_peak_mw,prana_peak_mw,md_saving_rs,rtm_spread_rs_mwh,rtm_mean_rs_mwh,solve_s
2026-04-19,18737443.978129864,18278663.813746303,458780.1643835604,18737443.978129864,18182762.394548804,0.0,0.0,0.0,95901.4191975,554681.5835810602,0.0,95901.4191975,1895.9615760000006,1898.5523729999998,78.998399,85.0,-132688.45748299314,9600.59,5543.857395833333,0.8484525680541992
2026-04-20,20195163.8799162,19854340.38237445,340823.497541748,20195163.8799162,19750711.81636945,0.0,0.0,0.0,103628.56600500003,444452.06354674697,0.0,103628.56600500003,1895.9615760000006,1898.6501694999997,78.998399,85.0,-132688.45748299314,8380.1,6222.180416666666,0.682004451751709
2026-04-21,20935014.986589797,20613731.67410002,321283.3124897778,20935014.986589797,20533316.887220018,0.0,0.0,0.0,80414.78688,401698.09936977923,0.0,80414.78688,1895.9615760000006,1897.76948675,78.998399,85.0,-132688.45748299314,8200.630000000001,6566.456458333334,0.6753890514373779
2026-04-22,19651266.92954617,19278168.933825612,373097.99572055787,19651266.92954617,19182277.588568114,0.0,0.0,0.0,95891.34525750001,468989.3409780562,0.0,95891.34525750001,1895.9615760000006,1898.76661475,78.998399,85.0,-132688.45748299314,8455.17,5969.088020833333,0.6261372566223145
2026-04-23,21250369.231539465,20945106.00038663,305263.23115283623,21250369.231539465,20869951.37501663,0.0,0.0,0.0,75154.62537000001,380417.8565228358,0.0,75154.62537000001,1895.9615760000006,1897.5835049999998,78.998399,85.0,-132688.45748299314,8675.119999999999,6713.200729166667,0.6292862892150879
2026-04-24,22608967.597818486,22397668.467386737,211299.13043174893,22608967.597818486,22327838.378771737,0.0,0.0,0.0,69830.088615,281129.2190467492,0.0,69830.088615,1895.9615760000006,1897.35882675,78.998399,85.0,-132688.45748299314,7610.12,7345.399375000001,0.9677777290344238
2026-04-25,23106020.70540776,22923973.7831332,182046.92227455974,23106020.70540776,22862391.310068026,0.0,0.0,0.0,61582.47306517588,243629.39533973485,0.0,61582.47306517588,1895.9615760000006,1897.1262434999999,78.998399,85.0,-132688.45748299314,7548.2,7576.693854166667,1.2393271923065186
2026-04-26,20138121.215205356,19764966.139375743,373155.07582961395,20138121.215205356,19680736.731280744,0.0,0.0,0.0,84229.408095,457384.4839246124,0.0,84229.408095,1895.9615760000006,1897.9377769999999,78.998399,85.0,-132688.45748299314,9992.7,6195.636666666668,0.8701400756835938
2026-04-27,18483406.456431672,18032959.855877277,450446.60055439547,18483406.456431672,17921099.390807275,0.0,0.0,0.0,111860.46507,562307.0656243972,0.0,111860.46507,1895.9615760000006,1899.6600134999999,78.998399,85.0,-132688.45748299314,9958.55,5425.645729166667,1.2274885177612305
2026-04-28,17228461.564860456,16718806.123240191,509655.4416202642,17228461.564860456,16594150.279787691,0.0,0.0,0.0,124655.84345249999,634311.2850727644,0.0,124655.84345249999,1895.9615760000006,1901.10648525,78.998399,85.0,-132688.45748299314,9990.68,4841.6803125,1.9319627285003662
2026-04-29,12854310.854569845,12610045.300564056,244265.55400578864,12854310.854569845,12591941.301364057,0.0,0.0,0.0,18103.999200000002,262369.55320578814,0.0,18103.999200000002,1895.9615760000006,1899.7784147500001,78.998399,82.884367,-85914.25850340119,9900.8,2806.250104166667,1.4616708755493164
2026-04-30,11412823.779215924,11412823.779215924,0.0,11412823.779215924,11412823.779215924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1895.9615760000006,1895.9615760000006,78.998399,78.998399,0.0,3619.1800000000003,2135.4807291666666,0.9292733669281006
2026-05-01,10444359.005169557,10400565.18944604,43793.81572351791,10444359.005169557,10387167.54224604,0.0,0.0,0.0,13397.647199999992,57191.46292351745,0.0,13397.647199999992,1895.9615760000006,1899.58068525,78.998399,82.884367,-85914.25850340119,4000.63,1684.8235416666666,1.8607044219970703
