date,flat_bill_rs,prana_bill_rs,saving_rs,flat_elec_rs,prana_elec_rs,flat_alt_rs,prana_alt_rs,flat_wear_rs,prana_wear_rs,elec_saving_rs,alt_extra_rs,wear_extra_rs,flat_mwh,prana_mwh,flat_peak_mw,prana_peak_mw,md_saving_rs,rtm_spread_rs_mwh,rtm_mean_rs_mwh,solve_s
2026-05-14,15992487.690894803,15896312.815874316,96174.87502048723,15992487.690894803,15880941.935474316,0.0,0.0,0.0,15370.880399999998,111545.75542048737,0.0,15370.880399999998,1895.9615760000006,1897.3027425,78.998399,82.884367,-85914.25850340119,9999.04,4266.542708333333,0.5989937782287598
2026-05-15,16092831.697134336,15646737.192299109,446094.5048352275,16092831.697134336,15539486.828399109,0.0,0.0,0.0,107250.36390000001,553344.8687352277,0.0,107250.36390000001,1895.9615760000006,1902.33415375,78.998399,85.0,-132688.45748299314,10000.0,4313.2359375,0.6142687797546387
2026-05-16,17577726.22116346,17187837.906329576,389888.3148338832,17577726.22116346,17121597.486419577,0.0,0.0,0.0,66240.41991000001,456128.73474388197,0.0,66240.41991000001,1895.9615760000006,1900.859336,78.998399,84.1493,-113880.46428571409,9448.0,5004.204166666667,0.5170326232910156
2026-05-17,18217130.12456263,17850410.516526766,366719.60803586245,18217130.12456263,17752394.373276766,0.0,0.0,0.0,98016.14325,464735.7512858622,0.0,98016.14325,1895.9615760000006,1900.4624362499999,78.998399,85.0,-132688.45748299314,9551.19,5301.738958333332,0.5418705940246582
2026-05-18,17424626.14461913,16979918.418697983,444707.7259211466,17424626.14461913,16879998.932692982,0.0,0.0,0.0,99919.48600500001,544627.2119261473,0.0,99919.48600500001,1895.9615760000006,1900.8676982499999,78.998399,85.0,-132688.45748299314,9950.24,4932.961875,0.6522135734558105
2026-05-19,17378475.356111765,16987394.47639313,391080.87971863523,17378475.356111765,16926623.01311061,0.0,0.0,0.0,60771.46328251816,451852.3430011533,0.0,60771.46328251816,1895.9615760000006,1900.0329085000003,78.998399,84.135851,-113583.12244897964,9900.42,4911.486458333334,0.6792881488800049
2026-05-20,18732268.4565534,18339597.37690801,392671.0796453878,18732268.4565534,18241933.899318013,0.0,0.0,0.0,97663.47759000001,490334.5572353862,0.0,97663.47759000001,1895.9615760000006,1901.5678759999998,78.998399,85.0,-132688.45748299314,9900.98,5541.4490625,0.6927144527435303
2026-05-21,20835752.870306104,20561684.229523245,274068.6407828592,20835752.870306104,20472347.572243243,0.0,0.0,0.0,89336.65728000001,363405.29806286097,0.0,89336.65728000001,1895.9615760000006,1900.0894412499997,78.998399,85.0,-132688.45748299314,8987.91,6520.266666666666,0.6482551097869873
2026-05-22,20624520.180324465,20329787.13408412,294733.04624034464,20624520.180324465,20250606.826264124,0.0,0.0,0.0,79180.30781999689,373913.3540603407,0.0,79180.30781999689,1895.9615760000006,1899.1841392499998,78.998399,85.0,-132688.45748299314,9970.86,6421.9734375,0.6850161552429199
2026-05-23,19930640.55451192,19642650.57653754,287989.9779743813,19930640.55451192,19556687.479602512,0.0,0.0,0.0,85963.09693502747,373953.07490940765,0.0,85963.09693502747,1895.9615760000006,1899.3763142500002,78.998399,85.0,-132688.45748299314,9970.56,6099.089375,0.523461103439331
2026-05-24,16002896.488570515,15545660.440320268,457236.0482502468,16002896.488570515,15452008.908270268,0.0,0.0,0.0,93651.53205,550887.5803002473,0.0,93651.53205,1895.9615760000006,1899.576799,78.998399,85.0,-132688.45748299314,9949.5,4271.38625,0.6212255954742432
2026-05-25,20618993.878371254,20368658.476652406,250335.40171884745,20618993.878371254,20285884.294112407,0.0,0.0,0.0,82774.18254,333109.58425884694,0.0,82774.18254,1895.9615760000006,1901.6545025,78.998399,85.0,-132688.45748299314,7999.13,6419.4018750000005,0.614149808883667
2026-05-26,20508506.566177018,20214806.53496951,293700.03120750934,20508506.566177018,20140745.959394462,0.0,0.0,0.0,74060.57557504621,367760.6067825556,0.0,74060.57557504621,1895.9615760000006,1898.6675044999997,78.998399,85.0,-132688.45748299314,7900.33,6367.988645833334,0.528099536895752
2026-05-27,17936778.925949633,17538199.36580144,398579.56014819443,17936778.925949633,17460860.47040144,0.0,0.0,0.0,77338.89540000001,475918.4555481933,0.0,77338.89540000001,1895.9615760000006,1899.03233875,78.998399,85.0,-132688.45748299314,9970.56,5171.282708333333,0.8342998027801514
2026-05-28,16300713.057811422,16278739.156442681,21973.901368740946,16300713.057811422,16194365.957140181,0.0,0.0,0.0,84373.1993025,106347.10067124106,0.0,84373.1993025,1895.9615760000006,1901.2169414999998,78.998399,85.0,-132688.45748299314,9900.56,4409.9696875,0.5752108097076416
2026-05-29,11298213.734284932,11263706.182363426,34507.55192150548,11298213.734284932,11248972.392763427,0.0,0.0,0.0,14733.789599999996,49241.34152150527,0.0,14733.789599999996,1895.9615760000006,1898.138739,78.998399,82.884367,-85914.25850340119,4999.13,2082.1490625,0.502293586730957
2026-05-30,10902144.185925847,10895960.215519331,6183.970406515524,10902144.185925847,10886532.393919332,0.0,0.0,0.0,9427.821600000001,15611.792006514966,0.0,9427.821600000001,1895.9615760000006,1899.52838225,78.998399,82.884367,-85914.25850340119,3744.87,1897.8454166666668,0.539975643157959
2026-05-31,12780156.733574187,12570812.167613475,209344.56596071273,12780156.733574187,12552451.207613474,0.0,0.0,0.0,18360.96,227705.52596071362,0.0,18360.96,1895.9615760000006,1899.7703352499998,78.998399,82.884367,-85914.25850340119,9970.5,2771.7438541666666,0.6475794315338135
2026-06-01,16192028.895543586,15975867.917958649,216160.9775849376,16192028.895543586,15852538.29100865,0.0,0.0,0.0,123329.62694999999,339490.60453493707,0.0,123329.62694999999,1895.9615760000006,1902.96662975,78.998399,85.0,-132688.45748299314,9000.04,4359.395520833333,0.6808803081512451
2026-06-02,17485254.73840148,17104646.12172702,380608.61667446047,17485254.73840148,17015837.07709452,0.0,0.0,0.0,88809.04463249998,469417.66130695865,0.0,88809.04463249998,1895.9615760000006,1901.3168782499997,78.998399,84.945654,-131486.93027210888,9487.84,4961.174270833333,0.5491678714752197
2026-06-03,19156306.863770902,18797624.542235736,358682.32153516635,19156306.863770902,18707474.268163234,0.0,0.0,0.0,90150.2740725,448832.59560766816,0.0,90150.2740725,1895.9615760000006,1901.2407009999997,78.998399,85.0,-132688.45748299314,9078.86,5738.767499999999,0.5810365676879883
2026-06-04,15041684.38422812,14995158.640696054,46525.7435320653,15041684.38422812,14905996.917001054,0.0,0.0,0.0,89161.72369500001,135687.46722706594,0.0,89161.72369500001,1895.9615760000006,1899.55004375,78.998399,85.0,-132688.45748299314,9990.02,3824.1039583333336,0.5279264450073242
